code,prime,error_disk,stripe_number,cache_size,cache_method,hit_ratio
tip,5,0,1,12,FIFO,0.16666666666666666
tip,5,0,1,12,LRU,0.16666666666666666
tip,5,0,1,12,LFU,0.16666666666666666
tip,5,0,1,12,ARC,0.16666666666666666
tip,5,0,1,12,FBF,0.16666666666666666
tip,5,0,1,13,FIFO,0.16666666666666666
tip,5,0,1,13,LRU,0.16666666666666666
tip,5,0,1,13,LFU,0.16666666666666666
tip,5,0,1,13,ARC,0.16666666666666666
tip,5,0,1,13,FBF,0.16666666666666666
tip,5,0,1,14,FIFO,0.16666666666666666
tip,5,0,1,14,LRU,0.16666666666666666
tip,5,0,1,14,LFU,0.16666666666666666
tip,5,0,1,14,ARC,0.16666666666666666
tip,5,0,1,14,FBF,0.16666666666666666
tip,5,0,1,15,FIFO,0.16666666666666666
tip,5,0,1,15,LRU,0.16666666666666666
tip,5,0,1,15,LFU,0.16666666666666666
tip,5,0,1,15,ARC,0.16666666666666666
tip,5,0,1,15,FBF,0.16666666666666666
tip,5,0,1,16,FIFO,0.16666666666666666
tip,5,0,1,16,LRU,0.16666666666666666
tip,5,0,1,16,LFU,0.16666666666666666
tip,5,0,1,16,ARC,0.16666666666666666
tip,5,0,1,16,FBF,0.16666666666666666
tip,5,0,1,17,FIFO,0.16666666666666666
tip,5,0,1,17,LRU,0.16666666666666666
tip,5,0,1,17,LFU,0.16666666666666666
tip,5,0,1,17,ARC,0.16666666666666666
tip,5,0,1,17,FBF,0.16666666666666666
tip,5,0,1,18,FIFO,0.16666666666666666
tip,5,0,1,18,LRU,0.16666666666666666
tip,5,0,1,18,LFU,0.16666666666666666
tip,5,0,1,18,ARC,0.16666666666666666
tip,5,0,1,18,FBF,0.16666666666666666
tip,5,0,1,19,FIFO,0.16666666666666666
tip,5,0,1,19,LRU,0.16666666666666666
tip,5,0,1,19,LFU,0.16666666666666666
tip,5,0,1,19,ARC,0.16666666666666666
tip,5,0,1,19,FBF,0.16666666666666666
hdd1,5,0,1,1,FIFO,0.0
hdd1,5,0,1,1,LRU,0.0
hdd1,5,0,1,1,LFU,0.0
